id,title,fileType,date,description,name,tags,digital,thumbPath
az207,azur365 2023 Day 207,png,26/7/2023,IJN Arashio,207_arashio,"azur365, fanart, azur lane, chibi, IJN",1,.\public\assets\thumbnails\azur365\207_arashio.jpg
az208,azur365 2023 Day 208,png,27/7/2023,IJN Hyuuga,208_hyuuga,"azur365, fanart, azur lane, chibi, IJN",1,.\public\assets\thumbnails\azur365\208_hyuuga.jpg
az209,azur365 2023 Day 209,png,28/7/2023,HMS Centaur,209_centaur,"azur365, fanart, azur lane, chibi, HMS",1,.\public\assets\thumbnails\azur365\209_centaur.jpg
az210,azur365 2023 Day 210,png,29/7/2023,IJN Ryuuhou,210_ryuuhou,"azur365, fanart, azur lane, chibi, IJN",1,.\public\assets\thumbnails\azur365\210_ryuuhou.jpg
az211,azur365 2023 Day 211,png,30/7/2023,MNF Gascogne,211_gascogne,"azur365, fanart, azur lane, chibi, MNF",1,.\public\assets\thumbnails\azur365\211_gascogne.jpg
az212,azur365 2023 Day 212,png,31/7/2023,IJN Noshiro,212_noshiro,"azur365, fanart, azur lane, chibi, IJN",1,.\public\assets\thumbnails\azur365\212_noshiro.jpg
az213,azur365 2023 Day 213,png,1/8/2023,IJN Kasumi,213_kasumi,"azur365, fanart, azur lane, chibi, IJN",1,.\public\assets\thumbnails\azur365\213_kasumi.jpg
az214,azur365 2023 Day 214,png,2/8/2023,IJN Hibiki,214_hibiki,"azur365, fanart, azur lane, chibi, IJN",1,.\public\assets\thumbnails\azur365\214_hibiki.jpg
az215,azur365 2023 Day 215,png,3/8/2023,IJN Kinu,215_kinu,"azur365, fanart, azur lane, chibi, IJN",1,.\public\assets\thumbnails\azur365\215_kinu.jpg
az216,azur365 2023 Day 216,png,4/8/2023,IJN Shoukaku,216_shoukaku,"azur365, fanart, azur lane, chibi, IJN",1,.\public\assets\thumbnails\azur365\216_shoukaku.jpg
az217,azur365 2023 Day 217,png,5/8/2023,USS Bailey,217_bailey,"azur365, fanart, azur lane, chibi, USS",1,.\public\assets\thumbnails\azur365\217_bailey.jpg
az218,azur365 2023 Day 218,png,6/8/2023,HMS Edinburgh,218_edinburgh,"azur365, fanart, azur lane, chibi, HMS",1,.\public\assets\thumbnails\azur365\218_edinburgh.jpg
az219,azur365 2023 Day 219,png,7/8/2023,FFNF Champagne,219_champagne,"azur365, fanart, azur lane, chibi, FFNF",1,.\public\assets\thumbnails\azur365\219_champagne.jpg
az220,azur365 2023 Day 220,png,8/8/2023,IJN Mikatsuki,220_mikatsuki,"azur365, fanart, azur lane, chibi, IJN",1,.\public\assets\thumbnails\azur365\220_mikatsuki.jpg
az221,azur365 2023 Day 221,png,9/8/2023,IJN Minazuki,221_minazuki,"azur365, fanart, azur lane, chibi, IJN",1,.\public\assets\thumbnails\azur365\221_minazuki.jpg
az222,azur365 2023 Day 222,png,10/8/2023,IJN Maya,222_maya,"azur365, fanart, azur lane, chibi, IJN",1,.\public\assets\thumbnails\azur365\222_maya.jpg
az223,azur365 2023 Day 223,png,11/8/2023,IJN Akatsuki,223_akatsuki,"azur365, fanart, azur lane, chibi, IJN",1,.\public\assets\thumbnails\azur365\223_akatsuki.jpg
az224,azur365 2023 Day 224,png,12/8/2023,USS Memphis,224_memphis,"azur365, fanart, azur lane, chibi, USS",1,.\public\assets\thumbnails\azur365\224_memphis.jpg
